ids,labels,parents
Type Products,All Products,
Animal Products,Animal  Products,Type Products
Vegetable Products,Vegetable Products,Type Products
Animal and Vegetable Bi-Products,Animal and Vegetable Bi-Products,Type Products
Foodstuffs,Foodstuffs,Type Products
Mineral Products,Mineral Products,Type Products
Chemical Products,Chemical Products,Type Products
Plastics and Rubbers,Plastics and Rubbers,Type Products
Animal Hides,Animal Hides,Type Products
Wood Products,Wood Products,Type Products
Paper Goods,Paper Goods,Type Products
Textiles,Textiles,Type Products
Footwear and Headwear,Footwear and Headwear,Type Products
Stone And Glass,Stone And Glass,Type Products
Precious Metals,Precious Metals,Type Products
Metals,Metals,Type Products
Machines,Machines,Type Products
Transportation,Transportation,Type Products
Instruments,Instruments,Type Products
Weapons,Weapons,Type Products
Miscellaneous,Miscellaneous,Type Products
Arts and Antiques,Arts and Antiques,Type Products
Live animal,Live animal,Animal Products
1,Horses value:222025,Live animal
2,Bovine value:336202,Live animal
3,Pigs value:554809,Live animal
4,Sheep and Goats value:7113,Live animal
5,Poultry value:6217790,Live animal
6,Other Animals value:776751,Live animal
Meat and edible meat offal,Meat and edible meat offal,Animal Products
7,Bovine Meat value:11255139,Meat and edible meat offal
8,Frozen Bovine Meat value:91202400,Meat and edible meat offal
9,Pig Meat value:1199202,Meat and edible meat offal
10,Edible Offal value:9909590,Meat and edible meat offal
11,Poultry Meat value:681053,Meat and edible meat offal
12,Animal Fat value:117421,Meat and edible meat offal
13,Preserved Meat value:326660,Meat and edible meat offal
Fish and crustaceans - molluscs and other aquatic invertebrates,Fish and crustaceans - molluscs and other aquatic invertebrates,Animal Products
14,Live Fish value:244188,Fish and crustaceans - molluscs and other aquatic invertebrates
15,Non-fillet Fresh Fish value:32822262,Fish and crustaceans - molluscs and other aquatic invertebrates
16,Non-fillet Frozen Fish value:1723396,Fish and crustaceans - molluscs and other aquatic invertebrates
17,Fish Fillets value:43229394,Fish and crustaceans - molluscs and other aquatic invertebrates
18,Processed Fish value:3524897,Fish and crustaceans - molluscs and other aquatic invertebrates
19,Crustaceans value:9886501,Fish and crustaceans - molluscs and other aquatic invertebrates
20,Molluscs value:5833,Fish and crustaceans - molluscs and other aquatic invertebrates
Dairy products and other edible products of animal origin,Dairy products and other edible products of animal origin,Animal Products
21,Milk value:45278925,Dairy products and other edible products of animal origin
22,Concentrated Milk value:50359747,Dairy products and other edible products of animal origin
23,Fermented Milk Products value:10361878,Dairy products and other edible products of animal origin
24,Whey value:21079235,Dairy products and other edible products of animal origin
25,Butter value:5542632,Dairy products and other edible products of animal origin
26,Cheese value:14129313,Dairy products and other edible products of animal origin
27,Eggs value:12732884,Dairy products and other edible products of animal origin
28,Processed Egg Products value:447492,Dairy products and other edible products of animal origin
29,Honey value:27549,Dairy products and other edible products of animal origin
Animal originated products,Animal originated products,Animal Products
Trees and other live plants,Trees and other live plants,Vegetable Products
30,Bulbs and Roots value:601122,Trees and other live plants
31,Other Live Plants value:75004223,Trees and other live plants
32,Cut Flowers value:29826311,Trees and other live plants
33,Foliage value:37379762,Trees and other live plants
Vegetables and certain roots and tubers,Vegetables and certain roots and tubers,Vegetable Products
Fruit and nuts edible,Fruit and nuts edible,Vegetable Products
Coffee tea mate and spices,Coffee tea mate and spices,Vegetable Products
34,Coffee value:308892299,Coffee tea mate and spices
35,Tea value:621133,Coffee tea mate and spices
36,MatÌ© value:952,Coffee tea mate and spices
37,Pepper value:1477103,Coffee tea mate and spices
38 vanilla value:8051,Coffee tea mate and spices
39,Cinnamon value:142197,Coffee tea mate and spices
40,Cloves value:18135,Coffee tea mate and spices
41,Nutmeg - mace and cardamons value:561847,Coffee tea mate and spices
42,Spice Seeds value:91377,Coffee tea mate and spices
43,Spices value:6700455,Coffee tea mate and spices
Cereals,Cereals,Vegetable Products
44,Corn value:49058,Cereals
45,Rice value:3963642,Cereals
46,Sorghum value:344,Cereals
47,Buckwheat value:20712,Cereals
Products of the milling industry,Products of the milling industry,Vegetable Products
Oil seeds and oleaginous fruits,Oil seeds and oleaginous fruits,Vegetable Products
48,Soybeans value:5610,Oil seeds and oleaginous fruits
49,Ground Nuts value:76071,Oil seeds and oleaginous fruits
50,Linseed value:20298,Oil seeds and oleaginous fruits
51,Sunflower Seeds value:2987,Oil seeds and oleaginous fruits
52,Other Oily Seeds value:3363751,Oil seeds and oleaginous fruits
53,Oil Seed Flower value:28057,Oil seeds and oleaginous fruits
54,Sowing Seeds value:12188297,Oil seeds and oleaginous fruits
55,Perfume Plants value:2133614,Oil seeds and oleaginous fruits
56,Locust beans - seaweed - sugar beet - cane - for food value:948770,Oil seeds and oleaginous fruits
57,Cereal Straws value:1291,Oil seeds and oleaginous fruits
Lac,Lac,Vegetable Products
Vegetable plaiting materials,Vegetable plaiting materials,Vegetable Products
58,Vegetable plaiting materials value:17926,Vegetable plaiting materials
59,Other Vegetable Products value:518071,Vegetable plaiting materials
60,Bovine - Sheep - and Goat Fat value:440404,Animal or vegetable fats and oils and their cleavage products
Animal or vegetable fats and oils and their cleavage products,Animal or vegetable fats and oils and their cleavage products,Animal and Vegetable Bi-Products
61,Fish Oil value:858173,Animal or vegetable fats and oils and their cleavage products
62,Wool Grease value:25114,Animal or vegetable fats and oils and their cleavage products
63,Other Animal Fats value:22814,Animal or vegetable fats and oils and their cleavage products
64,Soybean Oil value:9317554,Animal or vegetable fats and oils and their cleavage products
65,Ground Nut Oil value:435,Animal or vegetable fats and oils and their cleavage products
66,Pure Olive Oil value:89111,Animal or vegetable fats and oils and their cleavage products
67,Olive Oil value:18,Animal or vegetable fats and oils and their cleavage products
68,Palm Oil value:113162518,Animal or vegetable fats and oils and their cleavage products
69,Seed Oils value:341841,Animal or vegetable fats and oils and their cleavage products
70,Coconut Oil value:16282956,Animal or vegetable fats and oils and their cleavage products
71,Rapeseed Oil value:1476,Animal or vegetable fats and oils and their cleavage products
72,Other Pure Vegetable Oils value:187429,Animal or vegetable fats and oils and their cleavage products
73,Other Vegetable Oils value:240021,Animal or vegetable fats and oils and their cleavage products
74,Margarine value:9619740,Animal or vegetable fats and oils and their cleavage products
75,Inedible Fats and Oils value:89500,Animal or vegetable fats and oils and their cleavage products
76,Stearic Acid value:759185,Animal or vegetable fats and oils and their cleavage products
77,Glycerol value:11825,Animal or vegetable fats and oils and their cleavage products
78,Waxes value:119686,Animal or vegetable fats and oils and their cleavage products
Meat fish or crustaceans molluscs or other aquatic invertebrates,Meat fish or crustaceans molluscs or other aquatic invertebrates,Foodstuffs
Sugars and sugar confectionery,Sugars and sugar confectionery,Foodstuffs
